CustomerID,Age,Gender,Location,MembershipLevel,TotalPurchases,TotalSpent,FavoriteCategory,LastPurchaseDate,Occupation,FrequencyOfWebsiteVisits,Churn
135,53,Male,Chicago,Bronze,16.0,407.95808150980986,Clothing,2023-02-18,Salesperson,7,0
136,48,Female,Chicago,Bronze,29.0,325.3199817740307,Home Goods,2023-05-25,Salesperson,6,1
137,21,Male,San Francisco,Platinum,25.0,572.049392239145,Home Goods,2023-03-18,Salesperson,3,0
138,36,Female,Miami,Platinum,20.0,12.489179904582778,Electronics,2023-03-30,Artist,7,0
139,64,Female,New York,Silver,13.0,1.2112899625541016,Home Goods,2023-01-28,Engineer,2,0
140,53,Male,Chicago,Silver,17.0,2418.2925264586843,Electronics,2023-10-08,Salesperson,5,1
141,38,Female,San Francisco,Bronze,15.0,132.71753348935715,Home Goods,2023-10-17,Artist,3,0
142,35,Female,Miami,Bronze,24.0,19.005749982822767,Electronics,2023-05-04,Engineer,5,1
143,68,Female,Miami,Silver,20.0,665.5369337688488,Clothing,2023-02-14,Artist,7,0
144,45,Male,Chicago,Gold,18.0,653.2288146385209,Electronics,2023-07-21,Teacher,5,0
145,32,Female,Chicago,Platinum,28.0,345.92027976684915,Electronics,2023-02-18,Artist,2,0
146,59,Female,Chicago,Silver,13.0,160.8893945050439,Home Goods,2023-02-06,,11,1
147,19,Female,Miami,Bronze,23.0,410.3737050452006,Home Goods,2023-12-15,Teacher,2,0
148,54,Male,New York,Silver,10.0,43.650143403184366,Home Goods,2023-09-21,Engineer,5,0
149,28,Female,San Francisco,Bronze,20.0,662.5061578023309,Electronics,2023-03-06,Artist,5,1
150,40,Female,Chicago,Bronze,19.0,497.48178095823147,Electronics,2023-10-09,Manager,6,0
151,61,Female,San Francisco,Gold,20.0,161.99477500466134,Home Goods,2023-03-22,Artist,11,0
152,58,Female,New York,Gold,9.0,1105.9274454730926,Electronics,2023-07-15,Manager,9,0
153,29,Female,New York,Gold,29.0,15.774299165899283,Home Goods,2023-03-06,Doctor,5,0
154,20,Female,New York,Silver,22.0,232.93763703660642,Clothing,2023-06-09,Engineer,4,1
155,69,Female,Los Angeles,Gold,22.0,367.92582889866117,Clothing,2024-01-03,Engineer,4,1
156,34,Male,Miami,Bronze,20.0,360.00405029226664,Home Goods,2023-10-02,Teacher,4,0
157,50,Male,New York,Silver,26.0,1582.0188786623285,Electronics,2023-06-23,Teacher,6,1
158,18,Female,New York,Bronze,18.0,40.76880188347649,Clothing,2023-09-13,Teacher,3,0
159,56,Female,Chicago,Gold,22.0,594.0940501776921,Electronics,2023-10-26,Engineer,2,0
160,37,Female,San Francisco,Silver,17.0,1301.0010660088024,Clothing,2023-02-09,Salesperson,2,0
161,64,Female,New York,Bronze,18.0,531.9730413686148,Home Goods,2023-07-23,Salesperson,15,1
162,60,Male,New York,Bronze,20.0,25.395496206730325,Electronics,2023-11-14,Artist,9,0
163,69,Male,New York,Platinum,16.0,61.21568741339356,Electronics,2023-12-21,Manager,6,1
164,58,Male,Los Angeles,Silver,17.0,1120.1638739087236,Home Goods,2023-08-14,Salesperson,3,1
165,31,Female,Los Angeles,Silver,22.0,432.46663593931,Electronics,2023-04-15,Salesperson,1,0
166,48,Female,Los Angeles,Bronze,24.0,343.597133283537,Home Goods,2023-12-20,Engineer,1,1
167,42,Female,San Francisco,Bronze,22.0,659.2669857254061,Clothing,2023-12-20,Doctor,10,0
168,20,Male,Chicago,Silver,22.0,1950.8507971026763,Clothing,2023-07-14,Salesperson,4,1
169,21,Female,Los Angeles,Gold,18.0,300.5766787647981,Home Goods,2023-10-19,Manager,3,0
170,48,Female,Los Angeles,Platinum,18.0,386.16960753787777,Electronics,2023-11-19,Engineer,3,0
171,52,Male,Chicago,Silver,16.0,298.63580241213805,Clothing,2023-12-24,Engineer,3,0
172,61,Female,Los Angeles,Platinum,14.0,799.1297012969259,Home Goods,2023-05-15,Manager,1,1
173,31,Female,New York,Bronze,15.0,514.0057581949311,Electronics,2023-11-12,Teacher,3,0
174,66,Female,Chicago,Bronze,19.0,1131.3345745718184,Home Goods,2023-12-17,Artist,5,1
175,58,Female,New York,Platinum,18.0,201.25450318123572,Home Goods,2023-01-29,Engineer,5,1
176,26,Female,New York,Silver,22.0,983.3864516140696,Home Goods,2023-12-04,Doctor,3,0
177,37,Male,Chicago,Bronze,21.0,463.1306597422308,Clothing,2023-10-16,Artist,8,0
178,49,Female,Chicago,Bronze,17.0,175.76843942671192,Clothing,2023-08-28,Teacher,3,0
179,26,Male,Miami,Gold,26.0,19.698162787239117,Home Goods,2023-11-30,Artist,4,1
180,44,Male,Chicago,Silver,27.0,899.4689283848509,Electronics,2023-05-05,Salesperson,2,0
181,20,Female,New York,Silver,19.0,511.30544209130346,Electronics,2023-10-05,Salesperson,7,1
182,21,Male,Chicago,Bronze,13.0,865.811361690635,Clothing,2023-12-19,Manager,5,0
183,62,Female,San Francisco,Bronze,23.0,11.144582373841752,Clothing,2023-05-19,Doctor,3,0
184,32,Male,Miami,Silver,22.0,39.82374940143351,Home Goods,2023-02-19,Teacher,7,1
185,50,Male,San Francisco,Gold,24.0,435.60852434458843,Home Goods,2023-04-28,Teacher,3,0
186,22,Male,Miami,Platinum,16.0,80.95194742580502,Home Goods,2023-12-28,Engineer,3,1
187,21,Male,New York,Gold,18.0,396.5468746187644,Clothing,2023-04-29,Salesperson,5,0
188,63,Male,San Francisco,Silver,21.0,520.7354688666093,Clothing,2023-04-04,Doctor,4,0
189,29,Male,San Francisco,Platinum,24.0,148.57555587553406,Home Goods,2023-12-19,Manager,7,0
190,40,Female,New York,Platinum,14.0,496.70045694714935,Electronics,2023-10-10,Doctor,3,0
191,31,Female,New York,Bronze,24.0,804.3308076791408,Electronics,2023-05-01,Engineer,4,0
192,63,Male,Los Angeles,Bronze,21.0,240.02405263814026,Clothing,2023-04-14,Doctor,4,1
193,29,Male,Chicago,Silver,11.0,1640.0424735448698,Electronics,2023-03-10,Manager,1,1
194,34,Female,Chicago,Platinum,24.0,118.64484620773466,Clothing,2023-07-07,Manager,5,0
195,42,Female,San Francisco,Platinum,20.0,23.890001093187273,Electronics,2023-02-23,Engineer,4,1
196,47,Male,New York,Bronze,14.0,,Clothing,2023-03-02,Engineer,6,0
197,39,Female,Chicago,Platinum,21.0,400.31890150256424,Clothing,2023-12-14,Artist,4,0
198,64,Female,Los Angeles,Silver,18.0,1351.043548372293,Electronics,2023-04-13,Salesperson,4,0
199,43,Female,Los Angeles,Silver,10.0,1288.3232699412983,Home Goods,2023-07-04,Engineer,5,0
200,34,Female,Miami,Silver,16.0,398.756864036363,Clothing,2023-11-17,Artist,5,1
201,37,Female,Chicago,Bronze,19.0,247.2674233162859,Electronics,2023-11-27,Doctor,3,1
202,51,Female,San Francisco,Bronze,18.0,339.9166145075923,Clothing,2023-07-26,Salesperson,5,0
203,58,Female,Los Angeles,Bronze,,170.49342523114646,Home Goods,2023-04-08,Teacher,3,0
204,50,Female,San Francisco,Bronze,25.0,530.710219330066,Electronics,2023-07-05,Doctor,7,0
205,54,Female,Chicago,Gold,16.0,23.937266587100854,Electronics,2023-12-26,Doctor,5,0
206,24,Female,San Francisco,Silver,22.0,393.88322937735387,Clothing,2023-02-24,Teacher,4,1
207,39,Male,New York,Silver,19.0,305.2582873383946,Home Goods,2023-02-26,Artist,7,0
208,49,Male,Miami,Bronze,14.0,61.71901221235627,Electronics,2023-10-16,Manager,3,0
209,31,Female,New York,Gold,25.0,758.392695952423,Clothing,2023-01-16,Doctor,4,0
210,25,Female,San Francisco,Bronze,26.0,336.8368785639401,Electronics,2023-06-18,Doctor,5,1
211,42,Female,Chicago,Platinum,18.0,12.422384937103345,Clothing,2023-04-02,Salesperson,3,1
212,33,Male,Miami,Bronze,15.0,6.309202459048488,Clothing,2023-04-01,Artist,2,0
213,59,Male,Los Angeles,Silver,17.0,95.74270289021109,Home Goods,2023-12-07,Manager,6,0
214,36,Female,San Francisco,Gold,18.0,327.7013914108861,Home Goods,2023-02-09,Engineer,7,0
215,58,Female,Miami,Bronze,16.0,403.7207169343694,Home Goods,2023-05-02,Artist,5,0
216,33,Male,Miami,Gold,25.0,575.9195239091448,Electronics,2023-09-11,Artist,4,0
217,29,Male,Miami,Bronze,20.0,150.80643270923358,Clothing,2023-03-11,Manager,4,0
218,56,Male,Miami,Gold,16.0,16.379386729556973,Electronics,2023-02-10,Artist,6,0
219,65,Male,New York,Gold,24.0,365.15604137070034,Clothing,2023-01-24,Artist,9,1
220,47,Male,Miami,Bronze,28.0,300.328776088776,Electronics,2023-01-24,Engineer,11,0
221,19,Male,Los Angeles,Silver,24.0,1752.9641680799198,Home Goods,2023-03-16,Artist,3,0
222,49,Female,San Francisco,Bronze,18.0,339.02896223095587,Clothing,2023-01-14,Engineer,8,1
223,62,Male,New York,Gold,15.0,241.59519563244083,Electronics,2023-02-02,Manager,2,0
224,42,Male,San Francisco,Platinum,22.0,25.90288124594298,Clothing,2023-02-10,Engineer,2,0
225,42,Female,Los Angeles,Bronze,24.0,1469.321515678811,Clothing,2023-11-04,Teacher,6,0
226,21,Female,New York,Bronze,14.0,584.9021253442512,Home Goods,2023-12-11,Doctor,6,1
227,36,Female,Miami,Bronze,22.0,577.9450858213776,Clothing,2023-11-20,Manager,1,0
228,65,Female,Chicago,Gold,24.0,20.393794625208297,Home Goods,2023-11-05,Artist,10,0
229,21,Female,San Francisco,Gold,19.0,,Home Goods,2023-08-19,Salesperson,4,0
230,60,Male,Chicago,Gold,23.0,480.2962236886914,Electronics,2023-06-24,Manager,3,0
231,30,Male,Los Angeles,Bronze,18.0,161.4603150427223,Clothing,2023-02-09,Salesperson,2,0
232,56,Female,Los Angeles,Gold,19.0,218.96636153095878,Home Goods,2023-06-07,Teacher,5,0
233,53,Male,Chicago,Silver,25.0,454.51194698218654,Electronics,2023-10-17,Manager,8,0
234,40,Male,Chicago,Bronze,21.0,49.98287284922032,Electronics,2023-05-10,Manager,5,0
235,23,Female,Miami,Silver,24.0,74.01350609936459,Electronics,2023-05-13,Manager,8,0
236,41,Female,Los Angeles,Platinum,22.0,632.7403906255779,Electronics,2023-03-02,Salesperson,6,1
237,61,Male,Los Angeles,Gold,21.0,224.7130536797469,Electronics,2023-08-20,Manager,4,0
238,50,Male,Los Angeles,Silver,21.0,304.4940097184091,Home Goods,2024-01-06,Salesperson,3,1
239,29,Male,Chicago,Silver,15.0,237.22676373192783,Clothing,2023-08-29,Salesperson,4,1
240,58,Female,Miami,Gold,18.0,128.36743508409145,Home Goods,2023-08-19,Manager,5,0
241,38,Male,Chicago,Silver,30.0,470.71515145067514,Home Goods,2023-04-10,Artist,3,0
242,28,Male,Chicago,Platinum,24.0,390.16918693929296,Clothing,2023-04-18,Teacher,5,1
243,61,Female,Miami,Gold,22.0,99.21926303704377,Clothing,2023-07-14,Doctor,5,0
244,55,Female,San Francisco,Bronze,19.0,11.388685641435714,Electronics,2023-09-28,Artist,2,1
245,46,Female,San Francisco,Platinum,20.0,910.3761593896559,Home Goods,2023-12-11,Salesperson,3,0
246,65,Female,Los Angeles,Gold,21.0,466.4897420727355,Home Goods,2023-02-25,Teacher,5,0
247,58,Female,Miami,Platinum,21.0,1389.2052993949062,Home Goods,2023-09-16,Manager,6,0
248,20,Female,New York,Bronze,18.0,333.92398305595265,Home Goods,2023-07-01,Doctor,2,0
249,45,Female,Miami,Bronze,28.0,,Electronics,2023-10-22,Teacher,7,1
250,37,Male,San Francisco,Gold,20.0,372.60585905580615,Home Goods,2023-10-03,Salesperson,4,0
251,43,Male,New York,Gold,22.0,289.5173681857489,Clothing,2023-11-24,Engineer,3,0
252,41,Female,Los Angeles,Bronze,16.0,2457.309814337935,Electronics,2023-09-09,Manager,6,1
253,69,Male,Chicago,Silver,22.0,170.82460686952112,Electronics,2023-01-15,Salesperson,8,1
254,64,Female,New York,Bronze,20.0,1094.9596446153864,Home Goods,2023-08-27,Engineer,7,0
255,38,Male,Miami,Gold,17.0,117.0911579649089,Electronics,2023-03-16,Teacher,6,0
256,47,Female,Los Angeles,Bronze,26.0,566.9060545479401,Electronics,2023-03-23,Teacher,10,1
257,21,Female,Chicago,Bronze,24.0,271.0838895078179,Home Goods,2023-03-18,Artist,6,1
258,53,Female,New York,Silver,30.0,770.6674584640518,Electronics,2023-01-18,Teacher,3,1
259,57,Female,New York,Bronze,25.0,78.90887204297275,Electronics,2023-05-21,Engineer,8,0
260,27,Female,Miami,Platinum,20.0,763.4892431323701,Electronics,2023-06-27,Teacher,7,1
261,27,Female,New York,Silver,23.0,44.05321529917726,Electronics,2023-02-05,Teacher,7,0
262,59,Male,Miami,Bronze,16.0,505.44653330818113,Home Goods,2023-05-21,Manager,3,0
263,41,Female,San Francisco,Platinum,22.0,804.0601671341523,Electronics,2023-08-07,Manager,5,0
264,21,Male,San Francisco,Gold,14.0,212.86376582431367,Clothing,2023-07-10,Salesperson,8,0
265,64,Female,New York,Bronze,33.0,1184.9991184357752,Electronics,2023-02-06,Engineer,5,0
266,44,Female,San Francisco,Bronze,24.0,52.403378425399545,Clothing,2023-04-11,Salesperson,5,1
267,68,Male,New York,Bronze,21.0,271.95009318272315,Clothing,2023-04-21,Teacher,6,0
268,62,Male,New York,Bronze,19.0,33.16748307908746,Home Goods,2023-08-06,Artist,4,0
269,21,Female,Chicago,Gold,12.0,11.340649385910117,Clothing,2023-09-13,Engineer,2,0
270,49,Female,San Francisco,Silver,15.0,1353.6463975281163,Home Goods,2023-04-25,Engineer,4,0
271,27,Female,San Francisco,Platinum,16.0,504.6681955603154,Clothing,2023-06-28,Artist,4,0
272,28,Male,San Francisco,Silver,19.0,436.9656767431725,Home Goods,2023-12-04,Engineer,3,0
273,45,Female,New York,Platinum,16.0,808.8532175476969,Electronics,2023-06-15,Manager,9,1
274,63,Male,San Francisco,Silver,23.0,12.291176294693333,Home Goods,2023-08-12,Doctor,3,0
275,25,Male,Los Angeles,Silver,19.0,30.116306795641634,Home Goods,2023-04-02,Engineer,1,0
276,57,Female,Los Angeles,Bronze,20.0,920.320150809348,Clothing,2023-06-13,Salesperson,3,0
277,39,Male,Miami,Bronze,17.0,529.8296073085847,Electronics,2023-04-28,Teacher,4,1
278,51,Female,Los Angeles,Gold,18.0,1965.357918178573,Home Goods,2023-07-23,Manager,3,0
